start('Act1', 0).
start('Act2', 6).
start('Act3', 0).
start('Act4', 3).
start('Act5', 0).
start('Act6', 0).
start('Act7', 10).
start('Act8', 9).
start('Act9', 17).
start('Act10', 30).
start('Act11', 0).
start('Act12', 49).
start('Act13', 123).
start('Act14', 10).
start('Act15', 0).
start('Act16', 17).
start('Act17', 11).
start('Act18', 12).
start('Act19', 1).
start('Act20', 32).
start('Act21', 30).
start('Act22', 2).
start('Act23', 58).
start('Act24', 113).
start('Act25', 7).
start('Act26', 6).
start('Act27', 16).
start('Act28', 6).
start('Act29', 13).
start('Act30', 28).
start('Act31', 29).
start('Act32', 0).
start('Act33', 7).
start('Act34', 11).
start('Act35', 14).
start('Act36', 52).
start('Act37', 56).
start('Act38', 24).
start('Act39', 6).
start('Act40', 18).
start('Act41', 19).
start('Act42', 41).
start('Act43', 55).
start('Act44', 5).
start('Act45', 8).
start('Act46', 13).
start('Act47', 46).
start('Act48', 55).
start('Act49', 2).
start('Act50', 44).
start('Act51', 23).
start('Act52', 65).
start('Act53', 46).
start('Act54', 15).
start('Act55', 9).
start('Act56', 5).
start('Act57', 54).
start('Act58', 64).
start('Act59', 42).
start('Act60', 0).
start('Act61', 45).
start('Act62', 53).
start('Act63', 26).
start('Act64', 40).
start('Act65', 47).
start('Act66', 12).
start('Act67', 35).
start('Act68', 41).
start('Act69', 50).
start('Act70', 118).
start('Act71', 67).
start('Act72', 3).
start('Act73', 82).
start('Act74', 51).
start('Act75', 40).
start('Act76', 50).
start('Act77', 82).
start('Act78', 3).
start('Act79', 8).
start('Act80', 16).
start('Act81', 43).
start('Act82', 0).
start('Act83', 81).
start('Act84', 5).
start('Act85', 0).
start('Act86', 53).
start('Act87', 46).
start('Act88', 31).
start('Act89', 36).
start('Act90', 11).
start('Act91', 48).
start('Act92', 117).
start('Act93', 23).
start('Act94', 79).
start('Act95', 121).
start('Act96', 50).
start('Act97', 29).
start('Act98', 62).
start('Act99', 49).
start('Act100', 11).
start('Act101', 55).
start('Act102', 81).
start('Act103', 77).
start('Act104', 30).
start('Act105', 111).
start('Act106', 28).
start('Act107', 45).
start('Act108', 26).
start('Act109', 111).
start('Act110', 7).
start('Act111', 61).
start('Act112', 72).
start('Act113', 106).
start('Act114', 20).
start('Act115', 101).
start('Act116', 60).
start('Act117', 45).
start('Act118', 41).
start('Act119', 9).
start('Act120', 72).
start('Act121', 63).
start('Act122', 53).
start('Act123', 38).
start('Act124', 105).
start('Act125', 69).
start('Act126', 75).
start('Act127', 38).
start('Act128', 37).
start('Act129', 17).
start('Act130', 104).
start('Act131', 99).
start('Act132', 98).
start('Act133', 25).
start('Act134', 96).
start('Act135', 43).
start('Act136', 35).
start('Act137', 8).
start('Act138', 35).
start('Act139', 44).
start('Act140', 43).
start('Act141', 32).
start('Act142', 63).
start('Act143', 25).
start('Act144', 55).
start('Act145', 44).
start('Act146', 36).
start('Act147', 3).
start('Act148', 39).
start('Act149', 48).
start('Act150', 43).
start('Act151', 34).
start('Act152', 58).
start('Act153', 31).
start('Act154', 23).
start('Act155', 53).
start('Act156', 42).
start('Act157', 94).
start('Act158', 30).
start('Act159', 51).
start('Act160', 93).
start('Act161', 20).
start('Act162', 21).
start('Act163', 29).
start('Act164', 24).
start('Act165', 18).
start('Act166', 21).
start('Act167', 45).
start('Act168', 71).
start('Act169', 51).
start('Act170', 29).
start('Act171', 16).
start('Act172', 20).
start('Act173', 51).
start('Act174', 90).
start('Act175', 36).
start('Act176', 50).
start('Act177', 39).
start('Act178', 19).
start('Act179', 39).
start('Act180', 34).
start('Act181', 37).
start('Act182', 66).
start('Act183', 28).
start('Act184', 89).
start('Act185', 88).
start('Act186', 33).
start('Act187', 32).
start('Act188', 27).
start('Act189', 36).
start('Act190', 48).
start('Act191', 17).
start('Act192', 42).
start('Act193', 21).
start('Act194', 25).
start('Act195', 35).
start('Act196', 33).
start('Act197', 18).
start('Act198', 52).
start('Act199', 15).
start('Act200', 83).

crane('Act8', crane2).
crane('Act10', crane2).
crane('Act13', crane1).
crane('Act15', crane1).
crane('Act17', crane2).
crane('Act24', crane1).
crane('Act42', crane1).
crane('Act67', crane1).
crane('Act70', crane1).
crane('Act71', crane1).
crane('Act78', crane1).
crane('Act88', crane2).
crane('Act93', crane2).
crane('Act94', crane1).
crane('Act102', crane2).
crane('Act111', crane1).
crane('Act120', crane1).
crane('Act121', crane2).
crane('Act125', crane2).
crane('Act126', crane2).
crane('Act132', crane1).
crane('Act146', crane2).
crane('Act152', crane2).
crane('Act163', crane2).
crane('Act169', crane2).
crane('Act171', crane1).
crane('Act176', crane2).
crane('Act180', crane2).
crane('Act183', crane1).
crane('Act193', crane1).
crane('Act198', crane2).
